YEAR,ST,STATE_NAME,TOTAL_HEALTH_SPENDING,AGEP_65plus_share,AGEP_0_17_share,SEX_female_share,MAR_ever_married_share,HICOV_uninsured_share,HINS1_employer_share,HINS2_direct_share,HINS3_medicare_share,HINS4_medicaid_share,HINS5_tricare_share,HINS6_va_share,POVPIP_lt138_share,PINCP_mean,WAGP_mean,SEMP_mean_if_positive,SSP_per_capita,RETP_positive_share,ESR_unemp_or_nilf_share,ESR_in_labor_force_share,SCHL_bach_plus_share,DOUT_diff_share,DPHY_diff_share,DIS_any_share,FER_births_per_1000_women_15_50,BROADBND_yes_share,VEH_mean_per_person,MIL_veteran_share,MIL_active_duty_share
2019,1,Alabama,6267.0,0.17420717350048998,0.2215276396872645,0.5159356622277153,0.5479921724348561,0.10098170882803728,0.5333119186814285,0.13236192393311694,0.2088142707240294,0.19599933512604562,0.05172433836373704,0.027720553069076528,0.22397115344413887,28160.502641446325,19891.79276531479,32417.354083587965,2763.078986413933,0.12211756235997621,0.3607357258598238,0.4651158379706252,0.18742715194307374,0.06124631234595472,0.0919398309466194,0.16562438496609858,51.43216049588196,0.7700413098832698,2.2044993203397385,0.07959499794521316,0.003445107618823275
2019,2,Alaska,10777.0,0.12736332009650808,0.24383189004094075,0.482634697797128,0.5112453779330048,0.11482137120751287,0.5510583764498425,0.07580121523624657,0.13653568816682501,0.21025910914571216,0.12886425305346902,0.044991080521362324,0.15571427595021495,36067.735409304965,25936.937823373817,29700.139058059278,1705.404561578577,0.10492724302674476,0.2966639099440226,0.5092277303515164,0.20978613755818165,0.03408129370031919,0.05322707420596136,0.11599423138699602,63.6943061058805,0.8122220779309544,2.0237374324204254,0.09465993206159566,0.02441134858416092
2019,4,Arizona,6444.0,0.1794148611630319,0.225106842318502,0.5022475801710659,0.52492369190889,0.11713328049435086,0.5000379874639995,0.12432877937141944,0.19611684311946734,0.21027799267370884,0.03579861670676302,0.02944131500098163,0.19214883612043165,31789.02199041397,22242.152430160426,34913.60057111129,2738.600812478353,0.12058828499583099,0.34301828193073036,0.4805383970828925,0.21443998990481428,0.04619935079217945,0.06615341687278128,0.13329230961995087,53.440942765649986,0.7964131590773483,2.146603858894363,0.07499563453284418,0.003178719546315649
2019,5,Arkansas,6606.0,0.17306558013707982,0.23148620652633503,0.5115709966584974,0.5584855742785151,0.09603937167556276,0.46428992737765606,0.1285421452155276,0.2086745858909326,0.26479817774779274,0.032998166878962315,0.03248454836695822,0.24122905264887978,26926.346112272367,19013.43031555396,30170.524638457417,2687.262244333959,0.10813989245159726,0.3536846660684392,0.4647011535540413,0.16507831522524324,0.06683899948439329,0.10063874260886393,0.18015318423595436,54.0839042573386,0.7540241181998566,2.073541224015874,0.07467781207792157,0.0022715192901858437
2019,6,California,8218.0,0.1476852112319775,0.2247371402008943,0.5027187662916359,0.49412681741546155,0.07953652721589469,0.5250220166048364,0.11989581046857323,0.15724268411827905,0.25615463346620615,0.02081631802898055,0.014900933313724211,0.173582513947646,39076.37701467721,29269.93172264694,42880.90672105757,1896.7513796933167,0.08813951065218477,0.3134100047977559,0.5131628002808144,0.249605444877146,0.0451796903454407,0.056417099083491205,0.1091148174578788,46.749769648568844,0.8441916315363982,2.2916836392627165,0.043255829974436014,0.003589901788112504
2019,8,Colorado,7024.0,0.14713072452010303,0.21768179683875072,0.4950787811769805,0.5488372795696833,0.08063488237696606,0.5711654432500466,0.13261712292419725,0.15728711995132266,0.17011649778701438,0.04646245287160238,0.025941803895854924,0.13653464927025652,40757.37190140336,30539.33460398254,36946.0218817188,2017.6421388304657,0.1048915942665196,0.272968929292817,0.554659216883705,0.308488529427291,0.03789512142942479,0.04935840087130231,0.10911092295253681,44.583379558883,0.8535746386012486,2.2711567260593295,0.0719965284048444,0.005990203405747373
2019,9,Connecticut,8420.0,0.17679698717101877,0.20402957742251887,0.5107647715317168,0.5263806251782815,0.05868952485452083,0.5888594662926154,0.1195348368869042,0.188278250811225,0.21992787677401568,0.015323591060130643,0.015445039908428129,0.14340809028838353,45216.16464284642,33723.916660846655,47429.93025407762,2758.109403254212,0.11745758476105851,0.3060797069071859,0.544953884497938,0.29686586241163754,0.04990453783945023,0.06145760495578617,0.12384472834865748,38.01813670867373,0.815311642512931,2.0129434180193626,0.05297077065605097,0.002552669672876265
2019,10,Delaware,9079.0,0.19418770872613897,0.20944807982221564,0.5153137721254842,0.5451659745071701,0.07166828923640636,0.585845235601234,0.13580908721209656,0.21363697980208757,0.20520885964155586,0.0486390953044064,0.024287198951696714,0.14976832168780116,37235.41339585362,26116.57107882403,37535.15388969997,3127.347211439322,0.16558324193541762,0.3284009267132488,0.5067654996487856,0.24818847277163666,0.047505350372369484,0.0675153322570972,0.13873382051503239,37.13563527583888,0.8468129854872433,2.079083843723941,0.08730041365258934,0.005718017918099252
2019,11,District of Columbia,10997.0,0.12425664081706102,0.18091701157210283,0.5239950747362022,0.3469547955434581,0.03672693833076632,0.604644144022875,0.12910539015995773,0.13481705252150553,0.248826424125291,0.02664119963329739,0.015487092436546137,0.1755482473230568,58938.58800791783,47392.4256470785,53747.16014609385,1442.1214057689065,0.08887012238061974,0.2838572920400879,0.5871081645174134,0.4530973476405918,0.048980586582481875,0.06446767901902802,0.11905365788686913,39.42706087478206,0.8138715038916102,1.0462473202229121,0.04165645293156632,0.0038767323793586672
2019,12,Florida,7216.0,0.20939324287284083,0.1969733589716645,0.5111113894354885,0.5514338405391592,0.13571159754866166,0.4514539404221218,0.16751895229930416,0.22630428894813268,0.17512738888645485,0.03913461646355014,0.028883862392020166,0.19248680622171693,32644.372712032,21987.104591885076,35410.76371237552,3021.2695783545537,0.12420642826569671,0.3579261632638485,0.4895014311796443,0.23013253211918927,0.05215600693871985,0.07559483571290589,0.14037181850210756,42.961344388953506,0.8080848554947851,1.978464677167804,0.0746633129924256,0.003198102295414084
